timestep,demand_el
1,416
2,296
3,300
4,384
5,344
6,296
7,304
8,304
9,300
10,288
11,296
12,304
13,304
14,304
15,304
16,320
17,368
18,372
19,304
20,320
21,312
22,300
23,280
24,312
25,320
26,320
27,324
28,328
29,336
30,324
31,344
32,360
33,384
34,360
35,372
36,352
37,344
38,328
39,368
40,360
41,352
42,348
43,372
44,368
45,344
46,336
47,360
48,348
49,328
50,348
51,324
52,328
53,352
54,336
55,328
56,328
57,336
58,336
59,344
60,336
61,456
62,400
63,352
64,348
65,344
66,360
67,352
68,352
69,348
70,368
71,336
72,328
73,352
74,336
75,336
76,348
77,320
78,320
79,328
80,324
81,448
82,324
83,328
84,320
85,328
86,304
87,312
88,312
89,304
90,304
91,276
92,296
93,296
94,280
95,300
96,280
